"Date (UTC)","Timestamp (UTC)","<250","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550+"
"01-27-2025 03:00","1737946803","0.215","0.17","0.14","0.13","0.105","0.105","0.07","0.0365","0.022","0.0135","0.0125","0.01","0.005","0.0045"
"01-27-2025 04:00","1737950404","0.235","0.17","0.135","0.135","0.105","0.095","0.065","0.036","0.0225","0.013","0.0125","0.009","0.005","0.0045"
"01-27-2025 05:00","1737954004","0.235","0.18","0.155","0.14","0.105","0.095","0.055","0.032","0.0225","0.013","0.01","0.009","0.0045","0.004"
"01-27-2025 06:00","1737957604","0.255","0.18","0.135","0.125","0.095","0.095","0.045","0.032","0.0225","0.012","0.0085","0.0085","0.0045","0.004"
"01-27-2025 07:00","1737961203","0.275","0.19","0.135","0.12","0.095","0.095","0.045","0.0315","0.022","0.011","0.007","0.006","0.0045","0.004"
"01-27-2025 08:00","1737964804","0.325","0.175","0.115","0.115","0.09","0.08","0.045","0.032","0.0215","0.009","0.0045","0.0045","0.0035","0.0025"
"01-27-2025 09:00","1737968403","0.335","0.18","0.135","0.105","0.08","0.08","0.035","0.0315","0.0205","0.009","0.0055","0.0045","0.003","0.004"
"01-27-2025 10:00","1737972003","0.325","0.185","0.14","0.115","0.08","0.065","0.0335","0.0255","0.016","0.009","0.0055","0.0045","0.003","0.004"
"01-27-2025 11:00","1737975604","0.315","0.205","0.14","0.12","0.095","0.055","0.039","0.024","0.0095","0.009","0.0035","0.004","0.003","0.004"
"01-27-2025 12:00","1737979204","0.32","0.195","0.16","0.12","0.085","0.055","0.0345","0.022","0.01","0.009","0.0035","0.004","0.003","0.004"
"01-27-2025 13:00","1737982803","0.365","0.18","0.145","0.115","0.075","0.055","0.032","0.0195","0.0125","0.0075","0.003","0.0035","0.0035","0.004"
"01-27-2025 14:00","1737986404","0.415","0.155","0.135","0.105","0.07","0.045","0.0245","0.018","0.0085","0.007","0.0025","0.003","0.003","0.0035"
"01-27-2025 15:00","1737990004","0.405","0.135","0.125","0.095","0.065","0.045","0.024","0.0195","0.009","0.0095","0.003","0.003","0.003","0.004"
"01-27-2025 16:00","1737993604","0.415","0.135","0.12","0.085","0.065","0.045","0.0235","0.02","0.0095","0.0065","0.0045","0.003","0.003","0.0035"
"01-27-2025 17:00","1737997204","0.405","0.135","0.12","0.085","0.065","0.045","0.0245","0.0195","0.009","0.007","0.0045","0.003","0.003","0.0025"
"01-27-2025 18:00","1738000803","0.42","0.135","0.11","0.085","0.065","0.045","0.0235","0.014","0.0085","0.0065","0.0035","0.003","0.0025","0.003"
"01-27-2025 19:00","1738004404","0.445","0.135","0.105","0.085","0.065","0.045","0.02","0.012","0.0075","0.0065","0.003","0.003","0.0025","0.003"
"01-27-2025 20:00","1738008004","0.44","0.135","0.115","0.095","0.06","0.04","0.018","0.014","0.007","0.006","0.0025","0.003","0.002","0.003"
